metric,trainset,holdout,5-fold,model,selection,embed_selector
f1,1.0,1.0,0.9979981983785408,lr,pred,none
bal-acc,1.0,1.0,0.9979591836734695,lr,pred,none
acc,1.0,1.0,0.992,lr,embed_lgbm,lgbm
auroc,1.0,1.0,1.0,lr,embed_lgbm,lgbm
sens,1.0,1.0,0.9917942176870748,lr,embed_lgbm,lgbm
spec,1.0,1.0,0.9835884353741496,lr,embed_lgbm,lgbm
ppv,1.0,1.0,0.9848330914368649,lr,embed_lgbm,lgbm
npv,1.0,1.0,1.0,lr,embed_lgbm,lgbm
f1,1.0,1.0,0.9919867755908023,lr,embed_lgbm,lgbm
bal-acc,1.0,1.0,0.9917942176870748,lr,embed_lgbm,lgbm
acc,1.0,1.0,1.0,lr,embed_linear,linear
auroc,1.0,1.0,1.0,lr,embed_linear,linear
sens,1.0,1.0,1.0,lr,embed_linear,linear
spec,1.0,1.0,1.0,lr,embed_linear,linear
ppv,1.0,1.0,1.0,lr,embed_linear,linear
npv,1.0,1.0,1.0,lr,embed_linear,linear
f1,1.0,1.0,1.0,lr,embed_linear,linear
bal-acc,1.0,1.0,1.0,lr,embed_linear,linear
acc,1.0,1.0,1.0,lr,wrap,none
auroc,1.0,1.0,1.0,lr,wrap,none
sens,1.0,1.0,1.0,lr,wrap,none
spec,1.0,1.0,1.0,lr,wrap,none
ppv,1.0,1.0,1.0,lr,wrap,none
npv,1.0,1.0,1.0,lr,wrap,none
f1,1.0,1.0,1.0,lr,wrap,none
bal-acc,1.0,1.0,1.0,lr,wrap,none
acc,1.0,1.0,1.0,rf,none,none
auroc,1.0,1.0,1.0,rf,none,none
sens,1.0,1.0,1.0,rf,none,none
spec,1.0,1.0,1.0,rf,none,none
ppv,1.0,1.0,1.0,rf,none,none
npv,1.0,1.0,1.0,rf,none,none
f1,1.0,1.0,1.0,rf,none,none
bal-acc,1.0,1.0,1.0,rf,none,none
acc,1.0,1.0,1.0,rf,assoc,none
auroc,1.0,1.0,1.0,rf,assoc,none
sens,1.0,1.0,1.0,rf,assoc,none
spec,1.0,1.0,1.0,rf,assoc,none
ppv,1.0,1.0,1.0,rf,assoc,none
npv,1.0,1.0,1.0,rf,assoc,none
f1,1.0,1.0,1.0,rf,assoc,none
bal-acc,1.0,1.0,1.0,rf,assoc,none
acc,1.0,1.0,1.0,rf,pred,none
auroc,1.0,1.0,1.0,rf,pred,none
sens,1.0,1.0,1.0,rf,pred,none
spec,1.0,1.0,1.0,rf,pred,none
ppv,1.0,1.0,1.0,rf,pred,none
npv,1.0,1.0,1.0,rf,pred,none
f1,1.0,1.0,1.0,rf,pred,none
bal-acc,1.0,1.0,1.0,rf,pred,none
acc,1.0,1.0,1.0,rf,embed_lgbm,lgbm
auroc,1.0,1.0,1.0,rf,embed_lgbm,lgbm
sens,1.0,1.0,1.0,rf,embed_lgbm,lgbm
spec,1.0,1.0,1.0,rf,embed_lgbm,lgbm
ppv,1.0,1.0,1.0,rf,embed_lgbm,lgbm
npv,1.0,1.0,1.0,rf,embed_lgbm,lgbm
f1,1.0,1.0,1.0,rf,embed_lgbm,lgbm
bal-acc,1.0,1.0,1.0,rf,embed_lgbm,lgbm
acc,1.0,1.0,1.0,rf,embed_linear,linear
auroc,1.0,1.0,1.0,rf,embed_linear,linear
sens,1.0,1.0,1.0,rf,embed_linear,linear
spec,1.0,1.0,1.0,rf,embed_linear,linear
ppv,1.0,1.0,1.0,rf,embed_linear,linear
npv,1.0,1.0,1.0,rf,embed_linear,linear
f1,1.0,1.0,1.0,rf,embed_linear,linear
bal-acc,1.0,1.0,1.0,rf,embed_linear,linear
acc,1.0,1.0,1.0,rf,wrap,none
auroc,1.0,1.0,1.0,rf,wrap,none
sens,1.0,1.0,1.0,rf,wrap,none
spec,1.0,1.0,1.0,rf,wrap,none
ppv,1.0,1.0,1.0,rf,wrap,none
npv,1.0,1.0,1.0,rf,wrap,none
f1,1.0,1.0,1.0,rf,wrap,none
bal-acc,1.0,1.0,1.0,rf,wrap,none
acc,1.0,1.0,0.998,sgd,none,none
auroc,1.0,1.0,0.9979166666666666,sgd,none,none
sens,1.0,1.0,0.9979166666666666,sgd,none,none
spec,1.0,1.0,0.9958333333333332,sgd,none,none
ppv,1.0,1.0,0.9962264150943396,sgd,none,none
npv,1.0,1.0,1.0,sgd,none,none
f1,1.0,1.0,0.9979949874686718,sgd,none,none
bal-acc,1.0,1.0,0.9979166666666666,sgd,none,none
acc,1.0,1.0,1.0,sgd,assoc,none
auroc,1.0,1.0,1.0,sgd,assoc,none
sens,1.0,1.0,1.0,sgd,assoc,none
spec,1.0,1.0,1.0,sgd,assoc,none
ppv,1.0,1.0,1.0,sgd,assoc,none
npv,1.0,1.0,1.0,sgd,assoc,none
f1,1.0,1.0,1.0,sgd,assoc,none
bal-acc,1.0,1.0,1.0,sgd,assoc,none
acc,0.968,0.97,0.966,sgd,pred,none
auroc,0.9677507165617844,0.9699051829072971,0.9658422984578448,sgd,pred,none
sens,0.9677507165617845,0.9699051829072971,0.9658422984578448,sgd,pred,none
spec,0.9588477366255144,0.9669421487603306,0.9587585034013607,sgd,pred,none
ppv,0.9616858237547893,0.9691119691119691,0.9619507277189218,sgd,pred,none
npv,0.9748953974895398,0.970954356846473,0.9716364205256569,sgd,pred,none
f1,0.9679584741825406,0.9699652798635223,0.9659512849015084,sgd,pred,none
bal-acc,0.9677507165617845,0.9699051829072971,0.9658422984578448,sgd,pred,none
acc,1.0,1.0,0.998,sgd,embed_lgbm,lgbm
auroc,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
sens,1.0,1.0,0.9979591836734694,sgd,embed_lgbm,lgbm
spec,1.0,1.0,0.9959183673469388,sgd,embed_lgbm,lgbm
ppv,1.0,1.0,0.9961538461538462,sgd,embed_lgbm,lgbm
npv,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
f1,1.0,1.0,0.9979981983785408,sgd,embed_lgbm,lgbm
bal-acc,1.0,1.0,0.9979591836734694,sgd,embed_lgbm,lgbm
acc,1.0,1.0,1.0,sgd,embed_linear,linear
auroc,1.0,1.0,1.0,sgd,embed_linear,linear
sens,1.0,1.0,1.0,sgd,embed_linear,linear
spec,1.0,1.0,1.0,sgd,embed_linear,linear
ppv,1.0,1.0,1.0,sgd,embed_linear,linear
npv,1.0,1.0,1.0,sgd,embed_linear,linear
f1,1.0,1.0,1.0,sgd,embed_linear,linear
bal-acc,1.0,1.0,1.0,sgd,embed_linear,linear
acc,1.0,1.0,1.0,sgd,wrap,none
auroc,1.0,1.0,1.0,sgd,wrap,none
sens,1.0,1.0,1.0,sgd,wrap,none
spec,1.0,1.0,1.0,sgd,wrap,none
ppv,1.0,1.0,1.0,sgd,wrap,none
npv,1.0,1.0,1.0,sgd,wrap,none
f1,1.0,1.0,1.0,sgd,wrap,none
bal-acc,1.0,1.0,1.0,sgd,wrap,none
